MASTER_CLIENT_CODE,RO_NO,RO_NO_CLIENT_CODE,MASTER_CLIENT_NAME,ATTACHMENT1,ATTACHMENT2
209896,15405/11/0001/1920,15405,"DIRECTORATE OF REVENUE INTELLIGENCE ,NEW DELHI",,DNA1201900009854.pdf
33470,10701/11/0009/1920,10701,"INDIAN NAVY[RECTT.] IHQ MOD [NAVY] DMPR, [NEW DELHI]",,DNA1201900009980.pdf
15968,10801/13/0010/1920,10801,"INDIAN AIR FORCE, NEW DELHI",,DNA1201900009941.pdf
207708,06224/11/0002/1920,06224,"TELECOM ENFORCEMENT, RESOURCES & MONITORING CELL ,MEERUT",,DNA1201900009541.pdf
29475,19112/11/0142/1920,19112,"INDO TIBETAN BORDER POLICE MASURI,[UTTARAKHAND]",,DNA1201900009348.pdf
81962,21316/11/0003/1920,21316,"CENTRAL UNIVERSITY OF RAJASTHAN,[JAIPUR]",,
CO116,06241/11/0001/1920,06241,CONTROLLER OF COMMUNICATION ACOUNTS DEHRADUN,,DNA1201900009586.pdf
214129,06149/11/0003/1920,06149,"NIELIT [HARIDWAR] ,DEHRADUN",,DNA1201900010986.pdf
15977,10701/11/0015/1920,10701,"INDIAN NAVY, NEW DELHI",,DNA1201900010571.pdf
NA251,15112/11/0002/1920,15112,"NATIONAL PENSION SYSTEM TRUST,NEW DELHI",,DNA1201900010785.pdf
216363,06146/11/0014/1920,06146,"NATIONAL INSTITUTE OF ELECTRONICS AND INFORMATION TECH. ,GORAKHPUR",,DNA1201900010240.pdf
98553,54110/13/0004/1920,54110,"UNIQUE IDENTIFICATION AUTHORITY OF INDIA,[LUCKNOW]",,DNA1201900010553.pdf
7382,36122/11/0001/1920,36122,"WADIA INST OF HIMALAYAN GEOLOGY, DEHRADUN",,DNA1201900010867.pdf
151912,33112/11/0006/1920,33112,"PETROLEUM & NATURAL GAS REGULATORY BOARD ,NEW DELHI",,DNA1201900010451.pdf
55366,10405/11/0002/1920,10405,"KENDRIYA SAINIK BOARD,[NEW DELHI]",,DNA1201900011651.pdf
93843,25113/13/0015/1920,25113,"MINISTRY OF MICRO SMALL AND MEDIUM ENTERPRISES,[NEW DELHI]",,DNA1201900011152.pdf
19998,19106/13/0004/1920,19106,"NATIONAL DISASTER MANAGEMENT AUTHORITY,[ NEW DELHI]",,DNA1201900011372.pdf
18604,07104/11/0022/1920,07104,"OFFICIAL LIQUIDATOR HIGH COURT OF DELHI, NEW DELHI",,DNA1201900012369.pdf
62248,10702/11/0101/1920,10702,"INDIAN NAVY [CL],[NEW DELHI]",,DNA1201900012289.pdf
76722,54110/11/0002/1920,54110,"UIDAI,[LUCKNOW]",,DNA1201900011797.pdf
142753,11104/11/0004/1920,11104,"NORTH EASTERN COUNCIL, MINISTRY OF DONER, [SHILLONG]",,DNA1201900011986.pdf
18644,10602/11/0024/1920,10602,INTEGRATED HQRS MOD [ARMY] NEW DELHI,,DNA1201900011741.pdf
16600,01201/11/0001/1920,01201,"DEPT OF ANIMAL HUSBANDRY, NEW DELHI",,DNA1201900011915.pdf
NA474,47117/11/0001/1920,47117,"NATIONAL ANTI DOPING AGENCYNADA,NEW DELHI",,DNA1201900013319.pdf
111433,07102/11/0020/1920,07102,"SERIOUS FRAUD INVESTIGATION OFFICE,[NEW DELHI]",,DNA1201900013025.pdf
AI23,17112/11/0030/1920,17112,"AIIMS,NEW DELHI",,DNA1201900012833.pdf
18435,19112/11/0275/1920,19112,"INDO TIBETAN BORDER POLICE,[SHIMLA]",,DNA1201900013350.pdf
16498,22113/11/0009/1920,22113,"BROADCAST ENGI  CONSULTENT INDIA LTD, NEW DELHI",,DNA1201900013203.pdf
52572,21212/11/0005/1920,21212,"RASHTRIYA SANSKRIT SANSTHAN,[NEW DELHI]",,DNA1201900012608.pdf
IB8,22201/13/0001/1920,22201,"I&B PLAN FUNDS,NEW DELHI",,DNA1201900013707.pdf
151634,63101/13/0004/1920,63101,"MINISTRY OF SKILL DEVELOPMENT & ENTREPRENEURSHIP ,NEW DELHI",,DNA1201900013784.pdf
92435,10301/11/0057/1920,10301,"DEFENCE RESEARCH & DEVELOPMENT /DRDO,[CHANDIGARH]",,DNA1201900013735.pdf
DE431,49101/13/0001/1920,49101,"DEPTT. OF SPACE,NEW DELHI",,DNA1201900014112.pdf
77732,43104/11/0018/1920,43104,"TRIFED-TRIBAL COOP MKTG.DEVP.FED. OF INDIA,[NEW DELHI]",,DNA1201900014353.pdf
16518,20105/11/0003/1920,20105,"CENTRAL GOVT EMPLOYEE WELF HOU ORG, NEW DELHI",,DNA1201900014270.pdf
NA39,21354/11/0001/1920,21354,"NATIONAL TESTING AGENCY,NEW DELHI",,DNA1201900014688.pdf
40808,10702/11/0127/1920,10702,"INDIAN NAVY [CL] DOCKYARD APPERINTICE SCHOOL,[MUMBAI]",,DNA1201900014557.pdf
16110,02101/11/0005/1920,02101,"MINISTRY OF CHEMICAL & FERTILIZER, NEW DELHI",,DNA1201900014307.pdf
228484,06146/11/0029/1920,06146,"NATIONAL INSTITUTE OF ELECTRONICS & INFORMATION TECHNOLOGY ,LUCKNOW",,DNA1201900014305.pdf
16839,10401/11/0005/1920,10401,"MINISTRY OF DEFENCE, NEW DELHI",,DNA1201900015618.pdf
DE460,02201/13/0002/1920,02201,"DEPTT. OF FERTILIZERS,NEW DELHI",,DNA1201900015760.pdf
16439,36103/11/0004/1920,36103,"VIGYAN PRASAR , NEW DELHI",,DNA1201900015684.pdf
16851,23101/13/0026/1920,23101,"MINISTRY OF LABOUR & EMPLOYMENT, NEW DELHI",,DNA1201900015197.pdf
151756,17201/11/0027/1920,17201,"MINISTRY OF AYUSH ,NEW DELHI",,DNA1201900015485.pdf
NI156,06102/11/0022/1920,06102,"NIELIT,HARYANA",,DNA1201900015509.pdf
38775,33104/11/0003/1920,33104,"MINISTRY OF PETROLIUM AND NATURAL GAS ,NEW DELHI",,DNA1201900016073.pdf
42086,10401/11/0006/1920,10401,DEPT OF EX-SERVICEMEN WELFARE [NEW DELHI],,DNA1201900016463.pdf
125504,10201/11/0049/1920,10201,"ORDNANCE FACTORIES BOARD,[FIROZABAD]",,DNA1201900016279.pdf
115238,19112/1/0338/1920,19112,"INDO TIBETAN BORDER POLICE,[KARTARPUR]",,DNA1201900016831.pdf
16532,45102/11/0006/1920,45102,"CENTRAL WATER COMMISSION, NEW DELHI",,DNA1201900017591.pdf
16700,23111/13/0010/1920,23111,"EMPLOYEES STATE INSURANCE CORPORATION, NEW DELHI",,DNA1201900018002.pdf
93668,19112/11/0357/1920,19112,"INDO TIBETAN BORDER POLICE,[56 APO]",,DNA1201900017630.pdf
16598,32101/11/0001/1920,32101,"DEPT OF ADMINISTRATIVE REFORM &PUB GRIEV, NEW DELHI",,DNA1201900018667.pdf
160872,19142/13/0004/1920,19142,"LAND PORTS AUTHORITY OF INDIA, ,RITES LTD/AIRPORTS DIVISION",,DNA1201900018553.pdf
17049,36106/11/0007/1920,36106,"TECHNOLOGY DEVELOPMENT BOARD, NEW DELHI",,DNA1201900019388.pdf
17048,15309/11/0002/1920,15309,"TAX RECOVERY OFFICER, NEW DELHI",,DNA1201900019249.pdf
41186,25113/11/0111/1920,25113,"MSME DEVELOPMENT INSTITUTE,[JAMMU]",,DNA1201900019378.pdf
CE41,06134/11/0009/1920,06134,"CENTER FOR MATERIALS FOR ELECTRONICS TEC,MOHALI",,DNA1201900019488.pdf
CE61,06138/11/0005/1920,06138,"CENTRE FOR DEVELOPMENT OF ADVANCE COMPUTING,MUMBAI",,DNA1201900020349.pdf
TH584,06241/11/0004/1920,06241,"THE CONTROLLER OF COMMUNICATION ACCOUTS,DEHRADUN",,DNA1201900020488.pdf
16817,31201/11/0012/1920,31201,"LOK SABHA SECRATRIAT, NEW DELHI",,DNA1201900020111.pdf
18698,19110/11/0087/1920,19110,"BORDER SECURITY FORCE CGO COMPLEX, NEW DELHI",,DNA1201900020935.pdf
17002,19144/13/0003/1920,19144,"SASHASTRA SEEMA BAL, NEW DELHI",,DNA1201900020905.pdf
16813,09105/11/0002/1920,09105,"LALIT KALA ACADEMY,NEW DELHI",,DNA1201900020639.pdf
DE17,10301/11/0118/1920,10301,DEPTT. OF DEFENCE RESEARCH & DEVELOPMENT/DRDO,,DNA1201900020557.pdf
16810,17148/11/0014/1920,17148,"LADY HARDING MEDICAL COLLEGE, NEW DELHI",,DNA1201900021404.pdf
CE6,06132/11/0014/1920,06132,"CENTRE FOR DEVELOPMENT OF ADVANCED COMPUTING,PUNE",,DNA1201900021099.pdf
CO156,51101/11/0014/1920,51101,"COMPTROLLER GENERAL OF INDIA,NEW DELHI",,DNA1201900021382.pdf
82496,25113/11/0145/1920,25113,"MSME DEV. INSTT., [AGRA]",,DNA1201900021137.pdf
19046,25113/11/0186/1920,25113,MSME DEVELOPMENT INSTITUTE AGRA,,DNA1202000000621.pdf
15806,05101/13/0010/1920,05101,"DEPT OF COMMERCE, NEW DELHI",,DNA1202000000943.pdf
59765,36103/11/0009/1920,36103,"VIGYAN PRASAR,[NOIDA]",,DNA1202000000793.pdf
16629,36101/11/0025/1920,36101,"DEPT OF SCIENCE & TECHNOLOGY, NEW DELHI",,DNA1202000002253.pdf
42370,47103/11/0018/1920,47103,"SPORTS AUTHORITY OF INDIA,[NEW DELHI]",,DNA1202000002306.pdf
83692,10301/11/0153/1920,10301,"DEPT OF DEFENCE RESEARCH & DEVELOPMENT/DRDO,[KANPUR]",,DNA1202000001996.pdf
N.20,21104/11/0016/1920,21104,"N.C.E.R.T,NEW DELHI",,DNA1202000002080.pdf
216215,33104/11/0007/1920,33104,"PETROLEUM CONVERSATION RESEARCH ASSOCIATION ,NEW DLEHI",,DNA1202000002208.pdf
16845,16101/13/0008/1920,16101,"MINISTRY OF FOOD PROCESSING INDUS, NEW DELHI",,DNA1202000002085.pdf
16757,17152/11/0030/1920,17152,"INDIAN COUNCIL OF MEDICAL RESEARCH, NEW DELHI",,DNA1202000003266.pdf
16849,19101/11/0025/1920,19101,"MINISTRY OF HOME AFFAIRS, NEW DELHI",,DNA1202000003033.pdf
17050,36114/11/0005/1920,36114,"TECHNOLOGY INFOR FORE & ASSE COUNCIL, NEW DELHI",,DNA1202000003169.pdf
18542,08103/11/0015/1920,08103,"BUREAU OF INDIAN STANDARDS ,NEW DELHI",,DNA1202000003128.pdf
IN377,03104/11/0004/1920,03104,INDIRA GANDHI RASHTRIYA UDAN ACADEMY,,
18552,19141/13/0001/1920,19141,"CENTRAL INDUSTRIAL SECURITY FORCE, NEW DELHI",,DNA1202000003772.pdf
16772,09118/11/0008/1920,09118,"INDIRA GANDHI NATIONAL CENTRE FOR ARTS, NEW DELHI",DNA1202000003663_20200311154334.pdf,DNA1202000003663.eml
121541,19112/11/0469/1920,19112,"INDO TIBETAN BORDER POLICE,[LUCKNOW]",,DNA1202000003600.pdf
16168,19107/13/0015/1920,19107,"NATIONAL INST FOR DISASTERS MGMT, NEW DELHI",,DNA1202000003513.pdf
40419,35301/13/0013/1920,35301,"DEPT OF DRINKING WATER SUPPLY,[NEW DELHI]",,DNA1202000003390.pdf
DE656,17301/13/0021/1920,17301,"DEPT OF HEALTH RESEARCH,NEW DELHI",,DNA1202000004480.pdf
UN83,21205/11/0016/1920,21205,"UNIVERSITY GRANT COMMISSION,NEW DELHI",,DNA1202000004184.pdf
16859,35101/11/0016/1920,35101,"MINISTRY OF RURAL DEVELOPMENT, NEW DELHI",,DNA1202000004149.pdf
18725,25113/11/0003/2021,25113,MSME DEVELOPMENT INSTITUTE NEW DELHI,,DNA1202000004931.pdf
16604,08101/13/0001/2021,08101,"DEPT OF CONSUMER AFFAIRS, NEW DELHI",,DNA1202000005132.pdf
219135,09125/11/0002/2021,09125,"NATIONAL MONUMENTS AUTHORITY ,NEW DELHI",DNA1202000006249_20200612150938.pdf,
127963,36206/11/0002/2021,36206,"NATIONAL RESEARCH DEVELOPMENT CORPORATION,[DELHI]",DNA1202000006072_20200606161220.pdf,
16631,06201/11/0006/2021,06201,"DEPT OF TELECOMMUNICATION, NEW DELHI",DNA1202000006215_20200611145743.pdf,
217871,19112/11/0031/2021,19112,"INDO TIBETAN BORDER POLICE 2ND BATALIAN ,KULLU",DNA1202000006589_20200623212109.pdf,
NA875,34107/11/0001/2021,34107,"NATIONAL POWER TRAINING INSTITUTE,FARIDABAD",DNA1202000006823_20200702172509.pdf,
15821,32201/11/0002/2021,32201,"DEPT OF PERSONNEL & TRAINING, NEW DELHI",DNA1202000007086_20200710201853.pdf,
131321,37208/11/0006/2021,37208,"INDIAN MARITIME UNIVERSITY., [CHENNAI]",DNA1202000007289_20200717203145.pdf,
89649,19126/11/0005/2021,19126,"NARCOTICS CONTROL BUREAU,[NEW DELHI]",DNA1202000007300_20200718144802.pdf,
MA627,21207/11/0002/2021,21207,MAHATMA GANDHI HINDI VISHVA VIDYALAYA DELHI,DNA1202000008078_20200814181544.pdf,
NA916,19125/11/0004/2021,19125,NATIONAL INST.OF CRIMINOLOGY & FORENSIC SCIENCE,DNA1202000007742_20200803173734.pdf,
NA947,35104/11/0002/2021,35104,NATIONAL RURAL INFRASTRUCTURE DEVELOPMENT AGENCY,DNA1202000008517_20200827172534.pdf,
102844,19112/11/0076/2021,19112,"INDO TIBETAN BORDER POLICE,[PATIALA]",DNA1202000008717_20200902163241.pdf,
17065,55101/14/0001/2021,55101,"UNION PUBLIC SERVICE COMMISSION, NEW DELHI",DNA1202000009540_20200923150836.pdf,
73950,19112/11/0093//2021,19112,"INDO TIBETAN BORDER POLICE COMMANDANT 8 BN,[GOCHAR]",DNA1202000009329_20200918144043.pdf,
173644,21252/11/0005/2021,21252,"CENTRAL HINDI DIRECTORATE ,NEW DELHI",DNA1202000011599_20201110175558.pdf,
16283,17212/11/0001/2021,17212,"RASHTRIYA AYURVED VIDYAPEETH, NEW DELHI",DNA1202000011954_20201119172643.pdf,
153881,09142/11/0001/2021,09142,"NEHRU MEMORIAL MUSEUM & LIBRARY ,NEW DELHI",DNA1202000011814_20201113183602.pdf,
16973,01146/11/0001/2021,01146,"PLANT VARIETIES & FARMERS RIGHT AUTHORITY ,NEW DELHI",DNA1202000011699_20201112170713.pdf,
84104,19112/11/0136/2021,19112,"INDO TIBETAN BORDER POLICE FORCE BOKHARA CAMP,[BARELI]",DNA1202000011713_20201112174504.pdf,
19164,17134/11/0001/2021,17134,ALL INDIA INSTITUTE OF PHYSICAL MEDICINE AND REHABLITATION MUMBAI,DNA1202000012233_20201127172020.pdf,
16114,13101/11/0024/2021,13101,"MINISTRY OF ENVIRONMENT & FOREST, NEW DELHI",DNA1202000012509_20201204181422.pdf,
156594,19112/11/0162/2021,19112,"INDO TIBETAN BORDER POLICE BAREILY ,BUKHARA CAMP",DNA1202000012795_20201211202858.pdf,
ES9,23131/11/0005/2021,23131,"ESIC REGIONAL OFFICE,FARIDABAD",DNA1202000013331_20201224182229.pdf,
29217,36202/11/0022/2021,36202,"COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH,[NEW DELHI]",DNA1202000012763_20201211160524.pdf,
AT59,15113/13/0001/2021,15113,"ATAL PENSION YOJANA PFRDA,NEW DELHI",DNA1202000013261_20201222200903.pdf,
16134,45101/13/0001/2021,45101,"MINISTRY OF WATER RESOURCES, NEW DELHI",DNA1202000012862_20201214191601.pdf,
NA1162,38123/11/0001/2021,38123,NATIONAL SAFAI KARAMCHARIS FIN. & DEV. COR.-NSKFDC,DNA1202100000467_20210114173952.pdf,
95748,33112/11/0013/2021,33112,"PETROLIUM & NATURAL GAS REGULATORY BOARD,[NEW DELHI]",DNA1202100000509_20210115150828.pdf,
IN578,19112/11/0202/2021,19112,"INDO TIBETAN BORDER POLICE,DIST RANCHI JHARKHAND",ALGdavp202_release_order_20210219153151.pdf,
153544,19112/11/0210/2021,19112,"INDIAN TIBET BORDER POLICE ,BAREILLY",HLDdavp210_release_order_20210219183535.pdf,
16127,39107/11/0001/2021,39107,"MINISTRY OF STATISTICS & PROGRAME IMPLEM, NEW DELHI",HLDdavp01_release_order_20210218183826.pdf,
16516,34102/11/0005/2021,34102,"CENTRAL ELECTRICITY  AUTHORITY, NEW DELHI",DELdavp05_release_order_20210324202826.pdf,
143156,38101/11/0001/2122,38101,"MINISTRY OF SOCIAL JUSTICE,NEW DELHI",01__HLD__davp_20210413195853.pdf,
16480,10601/11/0002/2122,10601,"ARMY HEADQUAUTER, NEW DELHI",CHDdavp02_release_order_20210416150103.pdf,
19150,17153/11/0006/2122,17153,NATIONAL INSTITUTE OF HEALTH & FAMILY WELFARE NEW DELHI,DELdavp_release_order_20210528151614.pdf,
16986,17149/11/0001/2122,17149,"RAJKUMARI AMRITKAUR COLLEGE OF NURSHING, NEW DELHI",DNA1202100005043_20210525205419.pdf,
141980,03112/11/0002/2122,03112,"AIRPORTS ECONOMIC REGULATORY AUTHORITY OF INDIA., [NEW DELHI]",15davp002_KNPrelease_order_20210614191646.pdf,
EM32,23136/11/0002/2122,23136,"EMPLOYEES PROVIDENT FUND ORGANISATION,FARIDABAD",davp02_CHDrelease_order_20210616182459.pdf,
90632,10202/11/0005/2122,10202,"DG ORDNANCE SERVICES,[56 APO]",DNA1202100006476_20210709183149.pdf,
IN676,19112/11/0040/2122,19112,"INDO TIBETAN BORDER POLICE FORCE,LEH,LADAKH",DNA1202100006458_20210709152414.pdf,
NA1510,47116/11/0001/2122,47116,"NATIONAL SPORTS UNIVERSITY IMPHAL,MANIPUR",DNA1202100006951_20210723183839.pdf,
200290,10301/11/0032/2122,10301,"DEPTT. OF DEFENCE RESEARCH & DEVELOPMENT/DRDO ,MUSSOORIE",davp_release_order_20210721153029.pdf,
IN378,15311/11/0001/2122,15311,INCOME TAX DEPTT PANCHKULA,DNA1202100007253_20210731154602.pdf,
16171,17153/11/0007/2122,17153,"NATIONAL INST OF HEALTH & FAMILY WELFARE, NEW DELHI",DNA1202100007740_20210811173154.pdf,
MI281,01101/13/0013/2122,01101,MINISTRY OF AGRICULTURE & FARMERS WELFARE,"Scan_20210808215109.jpg,,DNA1202100007612_20210812172824.pdf",
18671,19112/11/0078/2122,19112,"INDO TIBETAN BORDER POLICE, PANCHKULA",DNA1202100008162_20210820163318.pdf,
EM34,23111/13/0010/2122,23111,EMPLOYEE STATE INSURANCE CORPORATION NEW DELHI,JMU davp_release_order_20210902202531.pdf,
